文字,编码,IDS
𮲮,sccy,⿰木双
𮲯,snyw,⿰木以
𮲰,sxxf,⿰木毕
𮲱,qqqs,⿳乂⿰乂乂朩
𮲲,sydy,⿰木庆
𮲳,shit,⿰木步
𮲴,swvc,⿰木⿱分支
𮲵,sqgg,⿰木鱼
𮲶,smgt,⿰木贱
𮲷,subg,⿰木闻
𮲸,sudj,⿰木养
𮲹,slng,⿰木⿱罒羽
𮲺,sfkm,⿰木颉
𮲻,spwh,⿰木窜
𮲼,sted,⿰木磐
𮲽,saks,⿰木𦾈
𮲾,ujqw,⿰章欠
𮲿,ghgh,⿱正⿰正正
𮳀,mcty,⿰殳夂
𮳁,tfng,⿺毛全
𮳂,tfnt,⿺毛我
𮳃,iyqy,⿰氵义
𮳄,iccy,⿰氵双
𮳅,igog,⿰氵亚
𮳆,iwxf,⿰氵华
𮳇,ipoy,⿰氵灾
𮳈,ibai,⿰氵陈
𮳉,isoy,⿰氵杰
𮳊,inck,⿰氵怡
𮳋,injy,⿰氵𭕛
𮳌,igsk,⿰氵珂
𮳍,iutk,⿰氵阁
𮳎,iuoy,⿰氵⿵门米
𮳏,iptq,⿰氵宪
𮳐,ijde,⿰氵晨
𮳑,ihxr,⿰氵𤽤
𮳒,itft,⿰氵𢽍
𮳓,ynki,⿱啟水
𮳔,idwy,⿰氵雁
𮳕,fgei,⿳埔人氺
𮳖,ifmd,⿰氵献
𮳗,ilwj,⿰氵输
𮳘,iawj,⿰氵萮
𮳙,iauy,⿰氵蔺
𮳚,ogfh,⿰火于
𮳛,onuy,⿰火飞
𮳜,onug,⿰火习
𮳝,ogmh,⿰火巿
𮳞,odsh,⿰火厅
𮳟,oeg,⿰火月
𮳠,omqy,⿰火风
𮳡,omcy,⿰火凤
𮳢,opgg,⿰火㝉
𮳣,oaiy,⿰火东
𮳤,oqkg,⿰火句
𮳥,oftx,⿰火老
𮳦,olkg,⿰火回
𮳧,otdj,⿰火乔
𮳨,ovey,⿰火艮
𮳩,ogty,⿰火麦
𮳪,qkqo,⿺免火
𮳫,oafw,⿰火芙
𮳬,olpy,⿰火连
𮳭,ogmy,⿰火责
𮳮,osoy,⿰火杰
𮳯,kmlo,⿱勋灬
𮳰,oagh,⿰火苹
𮳱,okhm,⿰火贵
𮳲,oriy,⿰火泉
𮳳,oukn,⿰火总
𮳴,ojwf,⿰火⿱日华
𮳵,opey,⿰火家
𮳶,oapy,⿰火莹
𮳷,ofvg,⿰火雪
𮳸,oapk,⿰火营
𮳹,oawj,⿰火萮
𮳺,trcg,⿰牜马
𮳻,trdl,⿰牜历
𮳼,trnd,⿰牜居
𮳽,qtrk,⿰犭后
𮳾,qtyk,⿰犭启
𮳿,dddd,⿱㹜㹜
𮴀,ggqn,⿰王兀
𮴁,giy,⿰王小
𮴂,gyqy,⿰王义
𮴃,gbn,⿰王也
𮴄,gkhh,⿰王中
𮴅,gwxn,⿰王仑
𮴆,gmqy,⿰王风
𮴇,gmcy,⿰王凤
𮴈,gnyy,⿰王尺
𮴉,gkwy,⿰王只
𮴊,gthy,⿰王处
𮴋,gymh,⿰王市
𮴌,gufg,⿰王兰
𮴍,gbmh,⿰王出
𮴎,gcfg,⿰王圣
𮴏,ggog,⿰王亚
𮴐,gahh,⿰王臣
𮴑,gguw,⿰王夹
𮴒,gmnn,⿰王岂
𮴓,gtdj,⿰王乔
𮴔,gwxf,⿰王华
𮴕,gydy,⿰王庆
𮴖,gukg,⿰王问
𮴗,gatq,⿰王尧
𮴘,gdpy,⿰王达
𮴙,gfhy,⿰王走
𮴚,gjcf,⿰王坚
𮴛,gwsk,⿰王何
𮴜,gran,⿰王皂
𮴝,gqlg,⿰王甸
𮴞,gntn,⿰王尾
𮴟,gmwc,⿰王岺
𮴠,ggmy,⿰王丽
𮴡,gggf,⿱王玨
𮴢,gjta,⿰王昇
𮴣,gepc,⿰王受
𮴤,gbdi,⿰王承
𮴥,gmnm,⿰王凯
𮴦,gtjt,⿰王复
𮴧,gwye,⿰王食
𮴨,gukn,⿰王总
𮴩,gthn,⿰王息
𮴪,gthd,⿰王臭
𮴫,gwcn,⿰王翁
𮴬,gssq,⿰王梦
𮴭,gjde,⿰王晨
𮴮,gnff,⿰王尉
𮴯,gjey,⿰王𧰮
𮴰,gpnm,⿰王密
𮴱,gaqo,⿰王菊
𮴲,gade,⿰王期
𮴳,gfsy,⿰王雬
𮴴,gipr,⿰王掌
𮴵,gxkj,⿰王强
𮴶,gapk,⿰王营
